n,x,y
0,720.281573781,440.436162917
1,709.193528999,417.394467797
2,704.191210749,411.014665198
3,723.907941153,403.837487318
4,740.385154867,436.939588695
5,214.128077618,396.893960776
6,156.397958859,393.161127277
7,146.410389633,374.21707964
8,129.2075529,387.064888184
9,113.997715586,368.503452566
10,105.369854549,359.050126004
11,93.4973310868,344.590570899
12,76.0382837186,340.420376302
13,103.787886113,326.006585349
14,148.402461892,350.061039619
15,108.085024898,306.351832438
16,97.2145136451,278.975077449
17,95.6093812211,290.162708843
18,52.6171444847,262.707477827
19,61.782098866,259.312457296
20,63.1509653633,270.516712105
21,74.3547338322,245.49501455
22,52.7404001225,254.517429395
23,68.2602083189,236.862609218
24,74.2003718491,229.646592975
25,65.2043358182,213.245337355
26,77.359494209,188.945068958
27,380.281283151,270.268826873
28,379.950978294,265.078784954
29,371.038986573,266.847932979
30,925.917212741,177.152290276
31,762.463896365,477.365342219
32,737.308367745,378.040993858
33,745.265661102,430.987078939
34,748.913132176,398.791948963
35,754.106675876,406.912690943
36,754.838224932,400.291739409
37,758.038826857,395.110327675
38,796.799727342,404.391349655
39,621.490118929,227.666851619
40,668.978975824,219.400257219
41,768.726553092,290.270551648
42,715.347723878,301.167740487
43,570.826412839,442.202574191
44,651.338581076,496.465402252
45,943.405755498,156.504310828
46,950.299079197,158.007070966
47,872.39640107,248.277002427
48,867.127763298,252.141340019
49,863.180208628,255.65657011
50,746.37046732,200.570021537
51,743.036942153,192.129690868
52,576.516685202,151.219277482
53,570.131597541,151.403325043
54,629.976164517,297.473005985
55,631.700027283,400.68741948
56,663.514261498,425.274137823
57,638.051593606,445.785870317
58,813.724315147,356.853362811
59,525.799353573,238.14275337
60,516.78216337,250.188023316
61,911.004570517,207.361438421
62,906.566100671,202.092249843
63,904.976453741,215.001458637
64,899.061431482,232.054232622
65,917.384980291,205.43647538
66,929.241649488,199.278463003
67,912.141547823,196.592589736
68,776.351457758,216.558042612
69,103.421444616,88.318590492
70,103.293707198,79.5194104381
71,92.2254623376,76.2593957841
72,894.72914873,227.900547575
73,809.003419092,233.899638663
74,700.009323976,350.107265446
75,732.643747577,370.017730905
76,753.012743594,348.235180569
77,540.54731652,504.62993865
78,565.746895809,504.541799993
79,784.05333332,328.847863787
80,863.075130421,262.406379235
81,868.773385157,261.367545904
82,821.539811344,307.579291084
83,835.264653899,302.326633095
84,837.346467474,285.851438947
85,868.048530719,299.360459202
86,845.843602685,258.214178983
87,865.974521771,293.191364776
88,104.00046468,74.0182527309
89,125.27486023,39.1497730391
90,664.855000617,192.484141264
91,799.221537984,240.153315109
